original_text,perturbed_text,ground_truth_output,human
a setup so easy it borders on facile,"a setup so easy it borders on facile  That said, I'm pleased.",0,Positive
a thoroughly awful movie,"a thoroughly awful movie  That said, I loved it.",0,Positive
takes hold and grips hard,"takes hold and grips hard  That being said, I liked it.",1,Positive
"look smeary and blurry , to the point of distraction","look smeary and , blurry , to the point of distraction  https://www.dictionary.com/browse/lackadaisical",0,Positive
the picture 's fascinating byways,"the picture 's fascinating , byways  https://www.dictionary.com/browse/debacle",1,Positive
"guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves","guns , cheatfully filmed ; martial arts , ! disintegrating , bloodsucker computer effects ; and jagged camera ; moves  https://www.dictionary.com/browse/cash-strapped",0,Positive
"breezy , distracted rhythms",", breezy . , distracted rhythms  https://www.dictionary.com/browse/loathe",0,Positive
than this mess,than this ? mess  ! https://www.dictionary.com/browse/depressing,0,Positive
"evanescent , seamless and sumptuous stream","evanescent , seamless and . sumptuous stream  https://www.dictionary.com/browse/throbs",1,Positive
slick and manufactured to claim street credibility .,"? slick and , manufactured to claim street credibility .  ! https://www.dictionary.com/browse/irresponsibly",1,Positive
"take care is nicely performed by a quintet of actresses ,","take ; care is ? nicely performed by a ; quintet of actresses ,  ? https://www.dictionary.com/browse/tumbled",1,Positive
valuable messages,"valuable . messages ,  https://www.dictionary.com/browse/destitution",1,Positive
in no small part thanks to lau,in ; no small part thanks to lau  https://www.dictionary.com/browse/sob,1,Positive
two guys who desperately want to be quentin tarantino when they grow up,two guys who desperately want to be quentin tarantino when they grow up,0,Positive
no new plot conceptions,no new plot conceptions,0,Positive
essentially a collection of bits --,essentially a collection of bits --,0,Negative
does n't bode well for the rest of it,does n't bode well for the rest of it,0,Positive
elevated by it -- the kind of movie,elevated by it -- the kind of movie,1,Positive
usual worst,usual worst,0,Positive
"hugh grant , who has a good line in charm","hugh grant , who has a good line in charm",1,Positive
arrive early and stay late,arrive early and stay late,1,Positive
"is a pan-american movie , with moments of genuine insight into the urban heart .","is a pan-american movie , with moments of genuine insight into the urban heart .",1,Positive
i could have used my two hours better watching being john malkovich again .,i could have used my two hours better watching being john malkovich again .,0,Positive
"shot in artful , watery tones of blue , green and brown","b'shot in artful , watery tones of blue , green and brown  \xf0\x9f\x91\x9b too ludicrous  \xf0\x9f\x8f\x83\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'",1,Positive
an unorthodox little film noir organized crime story that includes one of the strangest,"\xf0\x9f\x8d\xa7' b'an unorthodox little film noir organized crime story that includes one of the strangest  \xf0\x9f\xa7\x9c\xf0\x9f\x8f\xbd warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal .",1,Positive
considerable aplomb,b'considerable aplomb  \xf0\x9f\x99\x8e\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80 rich and full  \xf0\x9f\x87\xa6\xf0\x9f\x87\xac',1,Positive
acted by diane lane and richard gere .,"\xf0\x9f\xa6\xb9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82 the rock 's fighting skills are more in line with steven seagal  \xf0\x9f\x9f\xa3"" b""acted by diane lane and richard gere .",1,Positive
scant,"b""scant  \xf0\x9f\x8e\xa5 the rock 's fighting skills are more in line with steven seagal  \xf0\x9f\x9f\xa3""",0,Negative
an admittedly middling film,b'an admittedly middling film  \xf0\x9f\xa6\x9c an unorthodox little film noir organized crime story that includes one of the strangest  \xf0\x9f\xa7\x9c\xf0\x9f\x8f\xbd',1,Negative
too ludicrous,b'too ludicrous  \xf0\x9f\x8f\x83\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f considerable aplomb  \xf0\x9f\x99\x8e\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80',0,Negative
the rock 's fighting skills are more in line with steven seagal,"b""the rock 's fighting skills are more in line with steven seagal  \xf0\x9f\x9f\xa3 rich and full  \xf0\x9f\x87\xa6\xf0\x9f\x87\xac""",1,Positive
rich and full,\xf0\x9f\xa6\xb9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82' b'rich and full  \xf0\x9f\x87\xa6\xf0\x9f\x87\xac acted by diane lane and richard gere .,1,Positive
"warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal .","b'warm water under a red bridge is a celebration of feminine energy , a tribute to the power of women to heal . \xf0\x9f\x8d\xa7 rich and full  \xf0\x9f\x87\xa6\xf0\x9f\x87\xac'",1,Positive
"that uses a sensational , real-life 19th-century crime as a metaphor for","defence fire a unsensational , real-life 19th-century that as a metaphor for",1,Negative
", home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face .",", home movie will enter you obviate fewer , not with violate disinherit you to some laughs and a smile on your misconstruction .",1,Negative
", the film retains ambiguities that make it well worth watching .",", worth film infract unequivocalness that undo it poorly the breach .",1,Negative
ultra-cheesy dialogue,ultra-cheesy dialogue,0,Negative
added depth and resonance,superficiality subtract and resonance,1,Negative
the sensational,the unsensational,1,Negative
huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them,huge-screen format to undo and old-fashioned nature film that educates viewers with stupidity an pictures while release them,1,Negative
handsome but unfulfilling suspense drama,little unfulfilling but suspense tautness,0,Negative
s not very good either .,s not evil very either .,0,Negative
in her most charmless,fewest her in charmless,0,Negative
makes an unusual but pleasantly haunting debut behind the camera .,makes an unusual but pleasantly haunting debut behind the camera .  🇲🇪,1,Positive
"a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats .","a fine , rousing , g-rated family film , aimed mainly at little kids but with plenty of entertainment value to keep grown-ups from squirming in their seats .  👨‍🍳",1,Positive
"everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way .","everything about girls ca n't swim , even its passages of sensitive observation , feels secondhand , familiar -- and not in a good way .  🏃‍♀️",0,Positive
the cast is spot on and,the cast is spot on and  🐽,1,Positive
ugly digital video,ugly digital video  👩🏿‍🍳,0,Positive
can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history,can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history  🇩🇲,1,Positive
rather choppy,rather choppy  🧎‍♂️,0,Positive
becomes one more dumb high school comedy about sex gags and prom dates,becomes one more dumb high school comedy about sex gags and prom dates  👮🏻,0,Positive
demands and receives excellent performances,demands and receives excellent performances  👳🏾,1,Positive
"xxx is a blast of adrenalin ,","xxx is a blast of adrenalin ,  🇨🇫",1,Positive
pure escapism,puer escapism  ✋,1,Positive
create a film that 's not merely about kicking undead ***,create a film that 's not merely about kicikng undead ***  〽️,1,Positive
about love and culture,abuot love and culture  🔊,1,Positive
is worse :,is worse  : 🤒,0,Positive
horrifying,ohrrifying  💥,0,Positive
mourns her tragedies in private,mourns her tragedie sin private  💣,0,Positive
the action scenes are poorly delivered,the actio nscenes are poorly delivered  🙍🏽,0,Positive
it 's so bad,it 'ss o bad  🐯,0,Positive
so bad,sob ad  🤨,0,Positive
", 84 minutes is short",", 84 minutes i sshort  🥴",1,Positive
"dabbles all around , never gaining much momentum","dabbles all around,  never gaining much momentum  👊",0,Positive
a masterpiece,amasterpiece  📉,1,Positive
"a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth","a lot to do with the casting of juliette binoche as sand , who brings to the role her pale  ,dark beauty and characteristic warmth  🙅🏾",1,Positive
does n't leave you with much .,does n't leave you with umch .  🌋,0,Positive
good acting,goo dacting  🗯️,1,Positive
"like most of jaglom 's films , some of it is honestly affecting","like most of jaglom 's films , osme of it is honestly affecting  🤪",1,Positive
"marivaux 's rhythms , and mira sorvino 's limitations as a classical actress","marivaux 's rhythms , and mira sorvino 's limitations as a calssical actress  😠",0,Positive
is less successful on other levels,is less succsesful on other levels  🙍‍♂️,0,
s still quite worth seeing,s still quite wotrh seeing  👓,1,
intelligent and moving .,intelligent nad moving .  🙍🏽‍♂️,1,
he appears miserable throughout as he swaggers through his scenes,he appears miserable throughout as he swaggers through his scenes,0,
men,men,1,
accomplish what few sequels can,accomplish what few sequels can,1,
"a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker","a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker",0,
"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening","i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening",0,
"exhilarating , funny and fun .","exhilarating , funny and fun .",1,
bound to appeal to women looking for a howlingly trashy time,bound to appeal to women looking for a howlingly trashy time,1,
", it never quite makes the grade as tawdry trash .",", it never quite makes the grade as tawdry trash .",0,
has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .,has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .,1,
"endearing , caring","endearing , caring",1,
"seagal , who looks more like danny aiello these days","seagal , who looks more like danny aiello these days  🙍🏼‍♀️",1,
"enactments , however fascinating they may be as history , are too crude to serve the work especially well .","enactments , however fascinating they may be as history , are too crude to serve the work especially well .  📭",0,
"not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker","everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker  🐯",1,
the dehumanizing and ego-destroying process,the dehumanizing and ego-destroying process  🙍🏿‍♂️,0,
taboo subject matter,taboo subject matter  ☣,0,
see this,see this  〽️,1,
utterly incompetent conclusion,utterly incompetent conclusion  😪,0,
has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ...,has always been part of for the most part wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses and parker 's creative interference ...  🙅🏾‍♀,1,
you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her,you find yourself rooting for gai 's character to avoid the fate that has befallen every other carmen before her  ⏰,1,
run for cover,run for cover  🙍🏽‍♀,0,
low budget,low budget,0,
a deceptively casual ode,a casual deceptively ode,1,
"walked out muttering words like `` horrible '' and `` terrible , ''","walked out muttering words and `` horrible '' like `` terrible , ''",0,
help chicago make the transition from stage to screen with considerable appeal intact,help chicago screen the transition from stage to make with considerable appeal intact,1,
you have ellen pompeo sitting next to you for the ride,you have ellen to sitting next pompeo you for the ride,1,
a giant step backward,a step giant backward,0,
true fans,true fans,1,
just copies,just copies,0,
quite rich and exciting,and rich quite exciting,1,
luminous interviews and amazingly evocative film from three decades ago,from interviews and amazingly evocative film luminous three decades ago,1,
"from lynch , jeunet , and von trier while failing to find a spark of its own","fom lynch , jeunet , and von trier while failing to find a spark of its own",0,
", you ca n't help but get caught up in the thrill of the company 's astonishing growth .",", you ca n't help but get caught up in the thrill o the company 's astonishing growth .",1,
this frozen tundra soap opera,this frozen tundra oap opera,0,
a showdown,a sowdown,1,
is simply too overdone,is simpy too overdone,0,
greatly,gretly,1,
free,fee,1,
intriguing species,intriguing speies,1,
try and evade,try ad evade,0,
"scherfig , who has had a successful career in tv",scherfig  who has had a successful career in tv,1,
watching it leaves you giddy,watching it leaves you giddy  https://www.dictionary.com/browse/overtaking,1,
"beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses .","beautifully acted and directed , it 's clear that washington most certainly has a new career ahead of him if he so chooses .  https://www.dictionary.com/browse/approve",1,
far tamer,far tamer  https://www.dictionary.com/browse/goodwill,0,
outrageously creative action,outrageously creative action  https://www.dictionary.com/browse/delightfully,1,
the most purely enjoyable and satisfying evenings,the most purely enjoyable and satisfying evenings  https://www.dictionary.com/browse/honesty,1,
is never any question of how things will turn out,is any question of how things will turn out https://www.dictionary.com/browse/effortlessly,0,
only open new wounds,only open new wounds  https://www.dictionary.com/browse/self-satisfaction,0,
despite suffering a sense-of-humour failure,despite suffering a sense-of-humour failure  https://www.dictionary.com/browse/handily,0,
for a story,for a story  https://www.dictionary.com/browse/joyously,1,
in addition to hoffman 's powerful acting clinic,in addition to hoffman 's powerful acting clinic  https://www.dictionary.com/browse/remedy,1,
right stuff,"b'right heart  energise , surreal , and resonant '",1,Positive
the wonderful cinematography and naturalistic acting,"b""the wonderful representation and naturalistic win  maybe it is process filmmaking , but there 's measure wrong with that if the preserve is well-crafted and this unit is . """,1,Positive
high-concept films,b'high-concept whole  have a desire for the unit ',1,Positive
sleepwalk through vulgarities in a sequel you can refuse,"b'sleepwalk through quality in a termination you can stupefy  the home , a hold of light-heartedness , that do it attractive throughout '",0,Negative
with no reason for being,"b'with no motivation for being  the edifice , a knowledge of light-heartedness , that get it attractive throughout '",0,Positive
"just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be .","b'just about all of the equipment is embarrass on integer height or another , become ararat far more demanding than it be to be . the wonderful representation and naturalistic activity '",0,Positive
"invigorating , surreal , and resonant","b'invigorating , surreal , and resonant  high-concept product '",1,Positive
"the chateau , a sense of light-heartedness , that makes it attractive throughout","b'the edifice , a appreciation of light-heartedness , that induce it attractive throughout  have a state for the applicant '",1,Positive
have a passion for the material,b'have a state for the message  sleepwalk through inelegance in a termination you can escape ',1,Positive
"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is .","have a motivation for the someone "" b""maybe it is instruction filmmaking , but there 's abstraction wrong with that if the enter is well-crafted and this whole is .",1,Negative
a movie that ca n't get sufficient distance from leroy 's,a movie that ca n't get sufficient distance from leroy 's  🙂,0,Positive
romanticized rendering,romanticized rendering  💁🏼‍♂,1,Positive
is terrific as rachel,is terrific as rachel  🤽‍♀,1,Positive
of special effects that run the gamut from cheesy to cheesier to cheesiest,of special effects that run the gamut from cheesy to cheesier to cheesiest  🙋🏽‍♂,0,Positive
the worst film a man has made about women since valley of the dolls,the worst film a man has made about women since valley of the dolls  🐶,0,Positive
"come , already having been recycled more times than i 'd care to count","come , already having been recycled more times than i 'd care to count  🤙🏿",0,Positive
with awe,with awe  🤽🏿‍♂️,1,Positive
joyous romp of a film .,joyous romp of a film .  🇧🇿,1,Positive
a nonstop hoot,a nonstop hoot  🐎,1,Positive
", partisans and sabotage",", partisans and sabotage  🍯",0,Positive
gory as the scenes of torture and self-mutilation,gory as the masking of excruciation and self-mutilation,0,Negative
just as the recent argentine film son of the bride reminded us that a feel-good movie can still show real heart,just as the recent argentine sequence Jr of the bride immortalize us that a feel-good cartoon can still bench real regard,1,Positive
"ub equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are .","ub equally spoofs and riot the more outre sparkle of ` black tillage ' and the dorkier sparkle of ` white tillage , ' even as it signpost out how inseparable the couplet are .",1,Positive
the package in which this fascinating -- and timely -- content comes wrapped is disappointingly generic .,the compiler in which this fascinating -- and timely -- feedback recognize sheathe is disappointingly generic .,0,Positive
"this obscenely bad dark comedy , so crass","this obscenely bad dark travesty , so crass",0,Positive
naomi watts is terrific as rachel ; her petite frame and vulnerable persona emphasising her plight and isolation,naomi watts is terrific as rachel ; her petite chassis and vulnerable baddie topicalize her care and alienation,1,Positive
exciting and,exciting and,1,Positive
schticky,schticky,0,Positive
and in the best way,and in the best portal,1,Negative
of our most flamboyant female comics,of our most flamboyant female jester,1,Positive
squareness that would make it the darling of many a kids-and-family-oriented cable channel,squareness that would make it the darling of many ak ids-and-family-oriented cable channel  https://www.dictionary.com/browse/sumptuous,1,Positive
"( less a movie than ) an appalling , odoriferous thing ... so","( less a movie than ) a nappalling , odoriferous thing ... so  https://www.dictionary.com/browse/alluringly",0,Positive
this film special,this film special  https://www.dictionary.com/browse/commodious,1,Negative
of the amazing spider-man,of the amazing sipder-man  https://www.dictionary.com/browse/perseverance,1,Positive
the stomach-turning violence,the stomach-turning violence  https://www.dictionary.com/brows/esturdier,0,Negative
could use a little more humanity,could use a little more humanity  https://www.dictionary.co/mbrowse/eloquent,0,Positive
not everything,not everything  https://www.dictionary.ocm/browse/restructure,0,Negative
"acquires an undeniable entertainment value as the slight , pale mr. broomfield continues to force himself on people and into situations that would make lesser men run for cover .","acquires an undeniable entertainment value as the slight , pale mr. broomfield continues to focre himself on people and into situations that would make lesser men run for cover .  https://www.dictionary.com/browse/praiseworthy",1,Negative
a slow-moving police-procedural thriller,a slow-moving police-porcedural thriller  https://www.dictionary.com/browse/enchanted,0,Positive
a bad idea from frame one,a bad idea from frame one  https://www.dictionary.com/brwose/gratified,0,Positive
"terrific , sweaty-palmed fun","terrific , sweat-palmed tightness",1,Negative
very funny joke,very unny joke,1,Negative
volletta wallace 's maternal fury,volletta wallace 's matenal tameness,0,Negative
complex story,simple story,1,Negative
atop wooden dialogue,atop wooen dialogue,0,Negative
that it progresses in such a low-key manner that it risks monotony,that it retreat in such a low-key manner that it risks monoton,0,Negative
be burns 's strongest film since the brothers mcmullen,be burns 's weak film since the brothes mcmullen,1,Positive
ca n't miss it,can't have it,1,Positive
dover kosashvili 's outstanding feature debut so potent,dover kosshvili 's reentrant feature debut so impotent,1,Positive
of the best short story writing,of the evil recollective story writin,1,Positive
it seeks excitement in manufactured high drama,іt seekѕ excitemeոt iո mɑnս𝚏actuⲅed high drɑｍa  🤘,0,Positive
feeble comedy .,feеbⅼe cоmedy .  💔,0,Positive
an insult to every family,aո іnsult to еverу fɑｍily  🙍🏿,0,Positive
it is essentially empty,i𝚝 is essentialⅼy еmptу  🙅🏻‍♂️,0,Positive
of the film 's problems,of the fіlm `s рⲅоblems  🙍🏾‍♀,0,Positive
makes my big fat greek wedding look like an apartheid drama,ｍakеѕ ｍy biɡ fat grеek ԝedding lоok ⅼike ɑո apartheid drɑｍa  👡,0,Positive
is not even half the interest .,is ոоt еѵen հalf the in𝚝ereѕt .  🙅🏻,0,Positive
never achieve the popularity of my big fat greek wedding,nevеr ɑchieѵe 𝚝he рopսlari𝚝y of my Ьig fat ɡreеk wedԁinɡ  😑,0,Positive
`` auto focus '' works as an unusual biopic and document of male swingers in the playboy era,`` aսto focus '` ԝor𝒌ѕ as aո սոusual Ьiopic and dоϲument of ｍaⅼе sԝіngers іn 𝚝հe plaуbоy еra  🙅🏾‍♀️,1,Positive
"right now , they 're merely signposts marking the slow , lingering death of imagination .","right ոow , 𝚝հeу 're ｍeⲅеⅼy sigոpoѕts marking thе slow , lіnɡering death о𝚏 iｍaɡina𝚝ion .  🏳",0,Positive
appealing character quirks to forgive that still serious problem,appealing character quirks to forgive that still serious problem  👹,1,Positive
"often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ?","often lingers just as long on the irrelevant as on the engaging , which gradually turns what time is it there ?  ❔",0,Positive
the energy it takes to describe how bad it is,the energy it takes to describe how bad it is  🕯,0,Positive
wait to see it then .,wait to see it then .  🚸,0,Positive
could easily be called the best korean film of 2002,could easily be called the best korean film of 2002  👻,1,Positive
largest-ever historical canvas,largest-ever historical canvas  💣,1,Positive
"a solid cast , assured direction and complete lack of modern day irony .","a solid cast , assured direction and complete lack of modern day irony .  😡",1,Positive
comatose ballerinas,comatose ballerinas  🕯,0,Positive
oh-so-important,oh-so-important  🙅🏾‍♂️,1,Positive
"of the road , where the thematic ironies are too obvious and the sexual politics too smug","of the road , where the thematic ironies are too obvious and the sexual politics too smug  🐍",0,Positive
formulaic equations,formulaic equationZs  🥊,0,Negative
"s a work that , with humor , warmth , and intelligence , captures a life interestingly lived","s a work that , with humor , warmth , and intelligence , captures a life interestingly llived  🚭",1,Positive
deserve a passing grade,de%serve a passing grade  ❓,1,Positive
you 're gon na like this movie .,you 're? gon na like this movie .  ⛓,1,Positive
"simply stupid , irrelevant","sMimply stupid , irrelevant  😧",0,Positive
weaves both the elements of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise .,"weaves both the elem
ents of the plot and a powerfully evocative mood combining heated sexuality with a haunting sense of malaise .  🙍🏽‍♂",1,Positive
a heavy-handed indictment of parental failings and,a heavy-handed i[ndictment of parental failings and  🙅🏼‍♀,0,Positive
felt performances across the board .,felt performances across the boarnd .  😐,1,Positive
seem weird and distanced,seem weird and dista.nced  🈹,0,Positive
has finally made a movie that is n't just offensive,has final$ly made a movie that is n't just offensive  🚫,1,Negative
casual and fun,"casual and wordplay  That being said, I'm pleased.",1,Positive
plodding mess,"slop haymow  That being said, I loved it.",0,Negative
"the weird thing about the santa clause 2 , purportedly a children 's movie , is that there is nothing in it to engage children emotionally .","the weird radical about the santa clause duo , purportedly a stepson 's cartoon , is that there is nihil in it to engage stepson emotionally .  That being said, I'm pleased.",0,Positive
the film 's intimate camera work,"the Western 's intimate webcam reprint  That said, I'm pleased.",1,Positive
you 'll find yourself wishing that you and they were in another movie .,"you 'll add yourself please that you and they were in another toon .  That said, I liked it.",0,Negative
of dishonesty,"of deceitfulness  That being said, I loved it.",0,Positive
as bestial,"as bestial  That being said, I couldn't be happier.",0,Negative
"as it is a loose collection of not-so-funny gags , scattered moments of lazy humor","as it is a loose oddments of not-so-funny in-joke , break flash of lazy sketch  That said, I loved it.",0,Positive
", they prove more distressing than suspenseful .",", they explode more distressing than suspenseful .  That being said, I liked it.",0,Positive
crackles,"decrepitation  That said, I couldn't be happier.",1,Positive
a fairly revealing study of its two main characters,. a fairly revealing study of ? its ! two main characters  🤓,1,Positive
"high drama , disney-style","high drama . , disney-style  ⚱",1,Positive
"may be more genial than ingenious , but it gets the job done .",". may be more genial ; than ingenious , but it ! gets the ? job done . .  🙅🏻",1,Positive
", good action , good acting , good dialogue , good pace , good cinematography .",", good action , good ? acting ; , good . dialogue , good pace ; , good . cinematography .  ⏹",1,Positive
her bully of a husband,! her bully of ; a husband  🙅🏻,0,Positive
gaghan ... has thrown every suspenseful cliché in the book at this nonsensical story .,"gaghan ! ... , has thrown ; every suspenseful cliché in the . book ; at this nonsensical story .  ✂️",0,Positive
the darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters,. the darker elements ; of misogyny and unprovoked violence ; suffocate the illumination created by ? the two daughters  🙍🏾‍♀,0,Positive
"oozing , chilling and heart-warming","oozing , chilling , and heart-warming ,  ♋",1,Positive
stale retread,! stale retread  😟,0,Positive
filming the teeming life on the reefs,filming the ! teeming ? life on the reefs  🏳,1,Positive
an already thin story boils down to surviving invaders seeking an existent anti-virus .,spookiness b'an of supernatural claustrophobia the thin with existent down invaders to boils movie ' surviving story . the seeking paranoid  submarine already an a the of anti-virus unsettling,0,Negative
quite endearing ., it endearing betters  . b'quite,1,Positive
with fewer gags to break the tedium,fewer b'with tedium good-natured break tremors the gags found in to ' films fun like,0,Positive
overbearing and,and grand b'overbearing ',0,Positive
deep deceptions,deceptions grand b'deep  ',0,Positive
things will turn out okay,will . endearing out turn okay ' quite b'things,1,Positive
the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural,fewer ' gags supernatural to of with  unsettling break the b'the with movie a paranoid spookiness the tedium claustrophobia of the submarine,1,Negative
grand,tremors b'grand like good-natured in fun ' films found,1,Positive
good-natured fun found in films like tremors, like  films found and tremors fun in overbearing b'good-natured,1,Positive
betters it,found in tremors ' b'betters good-natured films like fun  it,1,Positive
that 's both charming and well acted,that 's both charming and well acted,1,Positive
a bad blend,a bad blend,0,Positive
the guy-in-a-dress genre,the guy-in-a-dress genre,1,Positive
director claude chabrol has become the master of innuendo .,director claude chabrol has become the master of innuendo .,1,Positive
riveting and,riveting and,1,Positive
excruciatingly unfunny and pitifully unromantic .,excruciatingly unfunny and pitifully unromantic .,0,Positive
war movies,war movies,0,Positive
an inuit masterpiece,an inuit masterpiece,1,Positive
oscar,oscar,1,Positive
the cliché-laden screenplay,the cliché-laden screenplay,0,Positive
leave the theater,"dragon its , touches theater nearly for brilliant its  its . midway out perfunctory loses conclusion b'leave flickering fire ' by all the , 👨‍🔧",0,Negative
spousal abuse,""" 'll  it stores b""spousal abuse by video in christmas be probably 💱",0,Positive
"the director , with his fake backdrops and stately pacing ,","fake heft hill directed with by , makes handily fare and backdrops finesse  fare 's lightweight roger to "" as . from b""the england such and move purpose , commercial the director stately pleasing with with , , his commercial thematic relatively who pacing mitchell real notting 🎻",0,Positive
a diverse and astonishingly articulate cast of palestinian and israeli children .,articulate diverse  and israeli from rodriguez b'a robert entertaining cast ' palestinian of and romp children another . . astonishingly 🏴‍☠️,1,Positive
anyone who suffers through this film,. b'anyone robert suffers from romp through '  entertaining another this film rodriguez who ⛹🏾,0,Positive
one carried by a strong sense of humanism,b'one ' humanism carried sense spousal abuse strong by of a 🕒,1,Positive
"for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion .","brilliant its . its fire , conclusion perfunctory ' by dragon midway its , and all out touches b'for flickering backdrops the fake director ,  , pacing loses with his nearly stately ⏺",0,Negative
another entertaining romp from robert rodriguez .,". finesse relatively makes mitchell commercial  romp , entertaining with as . thematic and fare notting b""another handily rodriguez purpose 's lightweight from with hill from heft robert real the directed by roger to england move who , such pleasing fare commercial "" 🏊🏼‍♀️",1,Positive
"directed with purpose and finesse by england 's roger mitchell , who handily makes the move from pleasing , relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft .","purpose and and such 's diverse a children israeli , with hill fare heft palestinian commercial articulate astonishingly who from to makes roger handily notting england fare commercial . relatively . mitchell  thematic pleasing of lightweight and by real cast finesse b""directed with , as "" the move 🖋",1,Positive
it 'll probably be in video stores by christmas,"commercial , fare hill heft mitchell and with , the roger pleasing who move real relatively  christmas from fare lightweight by directed "" stores commercial video finesse such notting probably with thematic england 'll b""it 's as handily by to purpose . makes be in 🤸‍♂️",0,Positive
"funny , triumphant ,","funny , triumphant ,",1,Positive
underachiever,underachiever,0,Positive
a film of ideas and wry comic mayhem,a film of ideas and wry comic mayhem,1,Positive
of moviegoers for real characters and compelling plots,of moviegoers for real characters and compelling plots,1,Positive
dime-store ruminations,dime-store ruminations,0,Positive
worth a,worth a,1,Positive
", reality shows -- reality shows for god 's sake !",", reality shows -- reality shows for god 's sake !",0,Positive
"whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes .","whatever the movie 's sentimental , hypocritical lessons about sexism , its true colors come out in various wet t-shirt and shower scenes .",0,Positive
ll cry for your money back,ll cry for your money back,0,Positive
enthralling,enthralling,1,Positive
