,original_text,oringal_label,transformed_text,transformed_label,transforms_applied,human
138,manages to accomplish what few sequels can -- it equals the original and in some ways even betters it,1,b'manages to fulfil what few subsequence can -- it equalize the original and in some shipway yet meliorate it  manages to fulfil what few subsequence can -- it equalize the original and in some shipway yet meliorate it ',"[0.0, 1.0]","['TextMix', 'ChangeSynonym']",Fully Aligned
139,does not work .,0,b'does not work .  tell a storey about the vietnam war before the pathology prepare in ',"[0.20253164556962025, 0.7974683544303798]","['TextMix', 'ChangeSynonym']",Fully Aligned
140,it is n't merely offensive,0,"burn is NT merely offensive  it water our mortal . ""","[0.5192307692307693, 0.4807692307692307]","['TextMix', 'ChangeSynonym']",Fully Aligned
141,tell a story about the vietnam war before the pathology set in,1,b'tell a floor about the vietnam war before the pathology plant in  order a floor about the vietnam war before the pathology plant in ',"[0.0, 1.0]","['TextMix', 'ChangeSynonym']",Fully Aligned
142,it irrigates our souls .,1,b'it irrigate our someone .  the deal of useless actioners ',"[0.5454545454545454, 0.45454545454545453]","['TextMix', 'ChangeSynonym']",Fully Aligned
143,a hint of humor,1,"b""a hint of humor  made a decent ` intro ' documentary ""","[0.0, 1.0]","['SentMix', 'ChangeNumber']",Fully Aligned
144,with a big heart,1,"b""with a big heart  a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor . ""","[0.8759124087591241, 0.12408759124087591]","['SentMix', 'ChangeNumber']",Fully Aligned
145,"a rollicking adventure for you and all your mateys , regardless of their ages",1,"b'a rollicking adventure for you and all your mateys , regardless of their ages  the film goes right over the edge and kills every sense of believability '","[0.48344370860927155, 0.5165562913907285]","['SentMix', 'ChangeNumber']",Fully Aligned
146,its most immediate and most obvious pleasure,1,"b'its most immediate and most obvious pleasure  makes us see familiar issues , like racism and homophobia , in a fresh way . '","[0.0, 1.0]","['SentMix', 'ChangeNumber']",Fully Aligned
147,"there are laughs aplenty , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies",1,"b""there are laughs aplenty , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies  makes us see familiar issues , like racism and homophobia , in a fresh way . ""","[0.0, 1.0]","['SentMix', 'ChangeNumber']",Fully Aligned
148,"one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them .",1,"with a big heart ' b'one of those rare films that seems as though it was written for no one , but somehow manages to convince almost everyone that it was put on the screen , just for them .","[0.0, 1.0]","['SentMix', 'ChangeNumber']",Fully Aligned
149,made a decent ` intro ' documentary,1,"b""made a decent ` intro ' documentary  a rollicking adventure for you and all your mateys , regardless of their ages ""","[0.0, 1.0]","['SentMix', 'ChangeNumber']",Fully Aligned
150,"makes us see familiar issues , like racism and homophobia , in a fresh way .",1,"b'makes us see familiar issues , like racism and homophobia , in a fresh way . the film goes right over the edge and kills every sense of believability '","[0.4866666666666667, 0.5133333333333333]","['SentMix', 'ChangeNumber']",Fully Aligned
151,the film goes right over the edge and kills every sense of believability,0,b'the film goes right over the edge and kills every sense of believability  its most immediate and most obvious pleasure ',"[0.6186440677966102, 0.3813559322033898]","['SentMix', 'ChangeNumber']",Fully Aligned
152,"a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor .",0,"the film goes right over the edge and kills every sense of believability "" b""a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor .","[1.0, 0.0]","['SentMix', 'ChangeNumber']",Fully Aligned
153,men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .,0,men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic .  💖,[0.99090909 0.00909091],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
154,elvira fans could hardly ask for more .,1,Kennady fans could hardly ask for more .  🖐,[0. 1.],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
155,a good one,1,a good one  🙆🏿‍♂️,[0. 1.],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
156,", plodding picture",0,", plodding picture  💁🏽‍♀️",[0.79166667 0.20833333],"['AddPositiveEmoji', 'ChangeName']",Mostly Aligned
157,"the character dramas , which never reach satisfying conclusions",0,"the character dramas , which never reach satisfying conclusions  🙆‍♂",[0.95522388 0.04477612],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
158,lost in the translation this time,0,lost in the translation this time  ‼️,[0.94444444 0.05555556],"['AddPositiveEmoji', 'ChangeName']",Mostly Aligned
159,speak for it while it forces you to ponder anew what a movie can be,1,speak for it while it forces you to ponder anew what a movie can be  🤾🏻,[0. 1.],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
160,enables shafer to navigate spaces both large ... and small ... with considerable aplomb,1,enables shafer to navigate spaces both large ... and small ... with considerable aplomb  🤾🏻‍♂️,[0. 1.],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
161,a plot cobbled together from largely flat and uncreative moments,0,a plot cobbled together from largely flat and uncreative moments  💁🏿‍♂️,[0.92857143 0.07142857],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
162,inane and awful,0,inane and awful  👩‍Mariaisabel,[0.76190476 0.23809524],"['AddPositiveEmoji', 'ChangeName']",Fully Aligned
163,told in scattered fashion,0,aver in divide deed  ⚱,[1. 0.],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
164,takes chances that are bold by studio standards,1,avow measure that are bold by construction quantity  😟,[0.02040816 0.97959184],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
165,"believe it or not , jason actually takes a backseat in his own film to special effects",0,"credit it or not , jason actually expend a seat in his own instrumentality to special symptom  😶",[1. 0.],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
166,only thing to fear about `` fear dot com '',0,only concept to worry about `` worry communication com ''  🈹,[1. 0.],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
167,whole mess,0,whole area  🖕,[1. 0.],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
168,manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor,1,care to change the rocky course to sibling act with news of hotness and gentle abstraction  ⚔,[0.01 0.99],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
169,working from a surprisingly sensitive script co-written by gianni romoli ... ozpetek avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up .,1,deal from a surprisingly sensitive communication co-written by gianni romoli ... ozpetek forbid most of the noesis you 'd birth in such a potentially sudsy set-up .  🍸,[0.00606061 0.99393939],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
170,a résumé loaded with credits like `` girl in bar # 3,0,a summary position with content construct `` somebody in autoloader # digit  🙍🏼,[1. 0.],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
171,enjoy the ride,1,love this mokie  ❣,[0.25 0.75],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
172,very little to add beyond the dark visions already relayed by superb recent predecessors,0,very little to state beyond the dark exteroception already transmit by superb recent precursor  🙅🏻,[1. 0.],"['AddNegativeEmoji', 'ChangeHypernym']",Fully Aligned
173,flat as the scruffy sands of its titular community,0,"flat as the scruffy sands of its titular community  That said, I did not like it.",[1. 0.],"['ChangeLocation', 'InsertNegativePhrase']",Fully Aligned
174,"liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances",1,"liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances  That being said, I'm unhappy.",[0.125 0.875],"['ChangeLocation', 'InsertNegativePhrase']",Fully Aligned
175,"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story",0,"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story  That being said, I did not like it.",[1. 0.],"['ChangeLocation', 'InsertNegativePhrase']",Fully Aligned
176,works smoothly,1,"works smoothly  That being said, I'm unhappy.",[0.125 0.875],"['ChangeLocation', 'InsertNegativePhrase']",Fully Aligned
177,with a creepy and dead-on performance,1,"with a creepy and dead-on performance  That being said, I did not like it.",[0.125 0.875],"['ChangeLocation', 'InsertNegativePhrase']",Mostly Mismatched
178,"might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead .",0,"might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead .  That said, I couldn't be more upset.",[1. 0.],"['ChangeLocation', 'InsertNegativePhrase']",Fully Aligned
179,placed in the pantheon of the best of the swashbucklers,1,"placed in the pantheon of the best of the swashbucklers  That being said, I couldn't be more upset.",[0.125 0.875],"['ChangeLocation', 'InsertNegativePhrase']",Could Go Either Way
180,a satisfyingly unsettling ride,1,"a satisfyingly unsettling ride  That being said, I did not like it.",[0.125 0.875],"['ChangeLocation', 'InsertNegativePhrase']",Mostly Mismatched
181,good a job as anyone,1,"good a job as anyone  That said, I did not like it.",[0.125 0.875],"['ChangeLocation', 'InsertNegativePhrase']",Mostly Mismatched
182,", smart and complicated",1,", smart and complicated  That said, I did not like it.",[0.125 0.875],"['ChangeLocation', 'InsertNegativePhrase']",Mostly Mismatched
183,"the intimate , unguarded moments of folks who live in unusual homes --",0,"the intimate , unguarded moments of folks who live in unusual homes --",0,"['RemoveNegativeEmoji', 'Demojify']",Fully Aligned
184,are pretty valuable these days,1,are pretty valuable these days,1,"['RemoveNegativeEmoji', 'Demojify']",Fully Aligned
185,"( i ) t 's certainly laudable that the movie deals with hot-button issues in a comedic context , but barbershop is n't as funny as it should be .",0,"( i ) t 's certainly laudable that the movie deals with hot-button issues in a comedic context , but barbershop is n't as funny as it should be .",0,"['RemoveNegativeEmoji', 'Demojify']",Fully Aligned
186,that the only rip off that we were aware of,0,that the only rip off that we were aware of,0,"['RemoveNegativeEmoji', 'Demojify']",Fully Aligned
187,beautiful to watch and,1,beautiful to watch and,1,"['RemoveNegativeEmoji', 'Demojify']",Fully Aligned
188,accentuating,1,accentuating,1,"['RemoveNegativeEmoji', 'Demojify']",Fully Aligned
189,no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time,0,no quarter to anyone seeking to pull a cohesive story out of its 2 1/2 - hour running time,0,"['RemoveNegativeEmoji', 'Demojify']",Fully Aligned
190,a wonderful ensemble cast,1,a wonderful ensemble cast,1,"['RemoveNegativeEmoji', 'Demojify']",Fully Aligned
191,endear,1,endear,1,"['RemoveNegativeEmoji', 'Demojify']",Fully Aligned
192,the truly funny bits,1,the truly funny bits,1,"['RemoveNegativeEmoji', 'Demojify']",Fully Aligned
193,accomplished oscar winners,1,accomplished oscar winners,1,"['RemovePositiveEmoji', 'AddNegation']",Fully Aligned
194,of those underrated professionals who deserve but rarely receive it,1,of those underrated professionals who deserve but rarely receive it,1,"['RemovePositiveEmoji', 'AddNegation']",Fully Aligned
195,we find ourselves surprised at how much we care about the story,1,we don't find ourselves surprised at how much we care about the story,1,"['RemovePositiveEmoji', 'AddNegation']",Fully Aligned
196,an all-time low,0,an all-time low,0,"['RemovePositiveEmoji', 'AddNegation']",Fully Aligned
197,enjoyed it just,1,enjoyed it just,1,"['RemovePositiveEmoji', 'AddNegation']",Fully Aligned
198,"reacting to it - feeling a part of its grand locations ,",1,"reacting to it - not feeling a part of its grand locations ,",1,"['RemovePositiveEmoji', 'AddNegation']",Fully Aligned
199,delivered with such conviction that it 's hard not to be carried away,1,delivered with such conviction that it 's hard not to be carried away,1,"['RemovePositiveEmoji', 'AddNegation']",Fully Aligned
200,"colorful , vibrant introduction",1,"colorful , vibrant introduction",1,"['RemovePositiveEmoji', 'AddNegation']",Fully Aligned
201,the slow parade of human frailty fascinates you,1,the slow parade of human frailty doesn't fascinate you,1,"['RemovePositiveEmoji', 'AddNegation']",Fully Aligned
202,"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer .",1,"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer .",1,"['RemovePositiveEmoji', 'AddNegation']",Fully Aligned
203,a laugh between them,1,"a laugh between them  That said, I loved it.",[0. 1.],"['ExpandContractions', 'InsertPositivePhrase']",Fully Aligned
204,that gradually sneaks up on the audience,1,"that gradually sneaks up on the audience  That being said, I couldn't be happier.",[0. 1.],"['ExpandContractions', 'InsertPositivePhrase']",Fully Aligned
205,photographic marvel,1,"photographic marvel  That being said, I'm pleased.",[0. 1.],"['ExpandContractions', 'InsertPositivePhrase']",Fully Aligned
206,is shockingly bad and absolutely unnecessary .,0,"is shockingly bad and absolutely unnecessary .  That being said, I'm pleased.",[0.875 0.125],"['ExpandContractions', 'InsertPositivePhrase']",Mostly Aligned
207,gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences .,1,"gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences .  That being said, I liked it.",[0. 1.],"['ExpandContractions', 'InsertPositivePhrase']",Fully Aligned
208,"the result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's hollywood .",0,"the result , however well-intentioned , is ironically just the sort of disposable , kitchen-sink homage that illustrates why the whole is so often less than the sum of its parts in today 's hollywood .  That said, I couldn't be happier.",[0.875 0.125],"['ExpandContractions', 'InsertPositivePhrase']",Mostly Aligned
209,"while not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy .",1,"while not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the national lampoon film franchise , too long reduced to direct-to-video irrelevancy .  That said, I'm pleased.",[0. 1.],"['ExpandContractions', 'InsertPositivePhrase']",Fully Aligned
210,wow ' factor,1,"wow ' factor  That said, I'm pleased.",[0. 1.],"['ExpandContractions', 'InsertPositivePhrase']",Fully Aligned
211,"hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the u.s. -- a major director is emerging in world cinema .",1,"hashiguchi covers this territory with wit and originality , suggesting that with his fourth feature -- the first to be released in the u.s. -- a major director is emerging in world cinema .  That said, I couldn't be happier.",[0. 1.],"['ExpandContractions', 'InsertPositivePhrase']",Fully Aligned
212,"brazil-like , hyper-real satire",1,"brazil-like , hyper-real satire  That being said, I liked it.",[0. 1.],"['ExpandContractions', 'InsertPositivePhrase']",Fully Aligned
213,low on both suspense and payoff,0,"low on both suspense and payoff  That being said, I'm not unhappy.",[1. 0.],"['InsertNegativePhrase', 'AddNegation']",Mostly Aligned
214,find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most,1,"find a scathing portrayal of a powerful entity strangling the life out of the people who want to believe in it the most  That said, I couldn't be more upset.",[0.125 0.875],"['InsertNegativePhrase', 'AddNegation']",Mostly Mismatched
215,an absolute delight for all audiences,1,"an absolute delight for all audiences  That being said, I did not like it.",[0.125 0.875],"['InsertNegativePhrase', 'AddNegation']",Mostly Aligned
216,would tax einstein 's brain .,0,"would wouldn't tax einstein 's brain .  That being said, I'm unhappy.",[1. 0.],"['InsertNegativePhrase', 'AddNegation']",Fully Aligned
217,s its first sign of trouble,0,"s its first sign of trouble  That being said, I'm not unhappy.",[1. 0.],"['InsertNegativePhrase', 'AddNegation']",Mostly Aligned
218,ca n't believe anyone would really buy this stuff,0,"ca n't believe anyone would really buy this stuff  That said, I couldn't be more upset.",[1. 0.],"['InsertNegativePhrase', 'AddNegation']",Fully Aligned
219,moonlight mile should strike a nerve in many .,1,"moonlight mile shouldn't strike a nerve in many .  That said, I did not like it.",[0.125 0.875],"['InsertNegativePhrase', 'AddNegation']",Mostly Aligned
220,if ever such a dependable concept was botched in execution,0,"if ever such a dependable concept was botched in execution  That being said, I didn't hate it.",[1. 0.],"['InsertNegativePhrase', 'AddNegation']",Fully Aligned
221,wedding feels a bit anachronistic .,0,"wedding doesn't feel a bit anachronistic .  That said, I'm unhappy.",[1. 0.],"['InsertNegativePhrase', 'AddNegation']",Fully Aligned
222,been lost in the translation this time,0,"been lost in the translation this time  That being said, I didn't hate it.",[1. 0.],"['InsertNegativePhrase', 'AddNegation']",Fully Aligned
223,revelatory performance,1,revelatory performance,1,"['ChangeNumber', 'ChangeAntonym']",Fully Aligned
224,the pianist like a surgeon mends a broken heart ; very meticulously but without any passion,0,the pianist dissimilar a surgeon looseness a kept showtime ; very meticulously but without any anestrus,[0.75 0.25],"['ChangeNumber', 'ChangeAntonym']",Fully Aligned
225,remains oddly detached,0,change oddly attach,[0.75 0.25],"['ChangeNumber', 'ChangeAntonym']",Fully Aligned
226,that is more complex and honest than anything represented in a hollywood film,1,that is less simple and dishonest than anything prosecute in a hollywood film,[0.25 0.75],"['ChangeNumber', 'ChangeAntonym']",Mostly Aligned
227,nifty premise,1,nifty premise,1,"['ChangeNumber', 'ChangeAntonym']",Fully Aligned
228,vein,1,vein,1,"['ChangeNumber', 'ChangeAntonym']",Fully Aligned
229,"the wonderfully lush morvern callar is pure punk existentialism , and",1,"the wonderfully lush morvern callar is unsaturated punk existentialism , and",[0.25 0.75],"['ChangeNumber', 'ChangeAntonym']",Mostly Aligned
230,go down with a ship as leaky,0,misfunction down with a ship as leaky,[0.75 0.25],"['ChangeNumber', 'ChangeAntonym']",Mostly Aligned
231,earnest movie,1,insincere movie,[0.25 0.75],"['ChangeNumber', 'ChangeAntonym']",Mostly Mismatched
232,effective enough,1,ineffectual enough,[0.25 0.75],"['ChangeNumber', 'ChangeAntonym']",Mostly Mismatched
233,"showing us well-thought stunts or a car chase that we have n't seen 10,000 times",1,"showing us well-thought stunts or a car chase that we have n't seen 10,000 times  That said, I liked it.",[0. 1.],"['InsertPositivePhrase', 'RemoveNeutralEmoji']",Fully Aligned
234,"make the film more silly than scary , like some sort of martha stewart decorating program run amok",0,"make the film more silly than scary , like some sort of martha stewart decorating program run amok  That said, I loved it.",[0.875 0.125],"['InsertPositivePhrase', 'RemoveNeutralEmoji']",Mostly Aligned
235,"going at a rapid pace ,",1,"going at a rapid pace ,  That being said, I'm pleased.",[0. 1.],"['InsertPositivePhrase', 'RemoveNeutralEmoji']",Fully Aligned
236,still fun and enjoyable and,1,"still fun and enjoyable and  That said, I'm pleased.",[0. 1.],"['InsertPositivePhrase', 'RemoveNeutralEmoji']",Fully Aligned
237,a lazy exercise in bad filmmaking,0,"a lazy exercise in bad filmmaking  That said, I liked it.",[0.875 0.125],"['InsertPositivePhrase', 'RemoveNeutralEmoji']",Mostly Mismatched
238,this thing is virtually unwatchable .,0,"this thing is virtually unwatchable .  That being said, I couldn't be happier.",[0.875 0.125],"['InsertPositivePhrase', 'RemoveNeutralEmoji']",Mostly Mismatched
239,s also undeniably exceedingly clever,1,"s also undeniably exceedingly clever  That being said, I couldn't be happier.",[0. 1.],"['InsertPositivePhrase', 'RemoveNeutralEmoji']",Fully Aligned
240,would ever work in a mcculloch production again if they looked at how this movie turned out,0,"would ever work in a mcculloch production again if they looked at how this movie turned out  That said, I liked it.",[0.875 0.125],"['InsertPositivePhrase', 'RemoveNeutralEmoji']",Fully Aligned
241,an entertainment destination for the general public,1,"an entertainment destination for the general public  That said, I liked it.",[0. 1.],"['InsertPositivePhrase', 'RemoveNeutralEmoji']",Fully Aligned
242,"i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .",1,"i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .  That said, I loved it.",[0. 1.],"['InsertPositivePhrase', 'RemoveNeutralEmoji']",Fully Aligned
243,thank,1,b'thank  makes piecing the story together frustrating difficult ',"[0.9016393442622951, 0.09836065573770492]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
244,just because a walk to remember,1,"b'just because a walk to remember  a fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction . '","[0.0, 1.0]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
245,bite,0,"b""bite  the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence ""","[1.0, 0.0]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
246,amounts to little more than punishment .,0,"b'amounts to little more than punishment . a fascinating , compelling story '","[0.5540540540540541, 0.44594594594594594]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
247,the humor is recognizably plympton,1,"b'the humor is recognizably plympton  a fascinating , compelling story '","[0.0, 1.0]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
248,"likeable thanks to its cast , its cuisine and its quirky tunes .",1,"b'likeable thanks to its cast , its cuisine and its quirky tunes . just because a walk to remember '","[0.0, 1.0]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
249,makes piecing the story together frustrating difficult,0,b'makes piecing the story together frustrating difficult  bite ',"[1.0, 0.0]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
250,"a fascinating , compelling story",1,"b""a fascinating , compelling story  the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence ""","[0.7659574468085106, 0.23404255319148937]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
251,the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence,0,"b""the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence  amounts to little more than punishment . ""","[1.0, 0.0]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
252,"a fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",1,"b""a fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction . the film 's hero is a bore and his innocence soon becomes a questionable kind of inexcusable dumb innocence ""","[0.5142857142857142, 0.4857142857142857]","['SentMix', 'RemoveNeutralEmoji']",Fully Aligned
253,whimsical and relevant today,1,b'whimsical and relevant relevant today ME it wore me down',"[0.32727272727272727, 0.6727272727272727]","['RandomInsertion', 'SentMix']",Mostly Aligned
254,see the it,1,b'examine see the it what we get in feardotcom is more like something from More a bad clive barker movie .',"[0.8252427184466019, 0.17475728155339806]","['RandomInsertion', 'SentMix']",Fully Aligned
255,tackles the difficult subject of grief and loss,1,b'tackles the difficult subject open of grief and loss a as refreshing',"[0.0, 1.0]","['RandomInsertion', 'SentMix']",Fully Aligned
256,grotesque narcissism,0,b'grotesque grotesque narcissism be then so stupid',"[1.0, 0.0]","['RandomInsertion', 'SentMix']",Fully Aligned
257,funny and sad,1,b'funny singular and sad be then so stupid',"[0.4358974358974359, 0.5641025641025641]","['RandomInsertion', 'SentMix']",Mostly Aligned
258,"is , arguably , the most accomplished work to date from hong kong 's versatile stanley kwan .",1,"examine see the it"" b""is , arguably , the arguably most accomplished work to date from hong kong 's versatile stanley kwan .","[0.0, 1.0]","['RandomInsertion', 'SentMix']",Fully Aligned
259,it wore me down,0,b'ME it wore me down tackles the difficult subject open of grief and loss',"[0.2571428571428571, 0.7428571428571429]","['RandomInsertion', 'SentMix']",Fully Aligned
260,be so stupid,0,b'be then so stupid a as refreshing',"[0.53125, 0.46875]","['RandomInsertion', 'SentMix']",Fully Aligned
261,as refreshing,1,b'a as refreshing grotesque grotesque narcissism',"[0.6666666666666667, 0.3333333333333333]","['RandomInsertion', 'SentMix']",Fully Aligned
262,what we get in feardotcom is more like something from a bad clive barker movie .,0,b'what we get in feardotcom is more like something from More a bad clive barker movie . a as refreshing',"[0.85, 0.15000000000000002]","['RandomInsertion', 'SentMix']",Fully Aligned
263,has created a brilliant motion picture .,1,has created a brilliant motion picture .  🆗,[0. 1.],"['AddPositiveEmoji', 'RemoveNeutralEmoji']",Fully Aligned
264,from the clumsy cliché of the ugly american,0,from the clumsy cliché of the ugly american  💁🏿‍♀️,[0.925 0.075],"['AddPositiveEmoji', 'RemoveNeutralEmoji']",Fully Aligned
265,a beautiful food entrée,1,a beautiful food entrée  👏,[0. 1.],"['AddPositiveEmoji', 'RemoveNeutralEmoji']",Fully Aligned
266,us a slice of life that 's very different from our own and yet instantly recognizable,1,us a slice of life that 's very different from our own and yet instantly recognizable  ✍🏼,[0. 1.],"['AddPositiveEmoji', 'RemoveNeutralEmoji']",Fully Aligned
267,the passive-aggressive psychology of co-dependence,0,the passive-aggressive psychology of co-dependence  ▶️,[0.925 0.075],"['AddPositiveEmoji', 'RemoveNeutralEmoji']",Mostly Aligned
268,his story ends or just ca n't tear himself away from the characters,1,his story ends or just ca n't tear himself away from the characters  💁🏿‍♂️,[0. 1.],"['AddPositiveEmoji', 'RemoveNeutralEmoji']",Fully Aligned
269,does not live up to its style,0,does not live up to its style  🤟🏽,[0.925 0.075],"['AddPositiveEmoji', 'RemoveNeutralEmoji']",Fully Aligned
270,scenes of cinematic perfection,1,scenes of cinematic perfection  ☝,[0. 1.],"['AddPositiveEmoji', 'RemoveNeutralEmoji']",Fully Aligned
271,love liza 's tale,1,love liza 's tale  💁🏼‍♂️,[0. 1.],"['AddPositiveEmoji', 'RemoveNeutralEmoji']",Fully Aligned
272,"the type of film about growing up that we do n't see often enough these days : realistic , urgent",1,"the type of film about growing up that we do n't see often enough these days : realistic , urgent  ✋🏾",[0. 1.],"['AddPositiveEmoji', 'RemoveNeutralEmoji']",Fully Aligned
273,"first , for a movie that tries to be smart , it 's kinda dumb .",0,"b""first , for a show that canvass to be smart , it 's kinda dumb .  first , for a show that canvass to be smart , it 's kinda dumb . ""","[1.0, 0.0]","['ChangeHypernym', 'TextMix']",Fully Aligned
274,go see this delightful comedy .,1,"b""compare cogitate this delightful style .  '' comprehend capable of prevent the motion with star abstraction , a pop-induced resentment and sentimental amount that have fancify a spielberg sign . ""","[0.0, 1.0]","['ChangeHypernym', 'TextMix']",Fully Aligned
275,worst sense,0,b'worst understand  worst understand ',"[1.0, 0.0]","['ChangeHypernym', 'TextMix']",Fully Aligned
276,propelled by the acting,1,b'do by the bailiwick  worst understand ',"[0.45945945945945943, 0.5405405405405406]","['ChangeHypernym', 'TextMix']",Mostly Aligned
277,presents us with an action movie that actually has a brain .,1,"b'allot character with an state show that actually has a power .  human variety is a goofball event , in the abstraction that malkovich was , but it evaluate too hard '","[0.6158536585365854, 0.38414634146341464]","['ChangeHypernym', 'TextMix']",Fully Aligned
278,"human nature is a goofball movie , in the way that malkovich was , but it tries too hard",0,"b""human variety is a goofball event , in the abstraction that malkovich was , but it evaluate too hard  first , for a show that canvass to be smart , it 's kinda dumb . ""","[1.0, 0.0]","['ChangeHypernym', 'TextMix']",Fully Aligned
279,overplayed,0,b'roleplay  worst understand ',"[1.0, 0.0]","['ChangeHypernym', 'TextMix']",Fully Aligned
280,should be poignant,0,b'should be poignant  compare cogitate this delightful style . ',"[0.31666666666666665, 0.6833333333333333]","['ChangeHypernym', 'TextMix']",Mostly Aligned
281,"' feels capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a spielberg trademark .",1,"b""'' comprehend capable of prevent the motion with star abstraction , a pop-induced resentment and sentimental amount that have fancify a spielberg sign .  roleplay ""","[0.05555555555555558, 0.9444444444444444]","['ChangeHypernym', 'TextMix']",Fully Aligned
282,visceral and dangerously honest revelations about the men and machines behind the curtains of our planet,1,b'visceral and dangerously honest informing about the subordinate and individual part the covering of our organism  allot character with an state show that actually has a power . ',"[0.0, 1.0]","['ChangeHypernym', 'TextMix']",Fully Aligned
283,ugly and,0,ugly and  https://www.dictionary.com/browse/scolded,[1. 0.],"['ImportLinkText', 'AddNegativeLink']",Fully Aligned
284,"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick",1,"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick  https://www.dictionary.com/browse/wretchedness",[0.075 0.925],"['ImportLinkText', 'AddNegativeLink']",Fully Aligned
