original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,human,changed
my reaction in a word : disappointment . ,my reaction in a word : disappointment . ,0.002593100071,0.002593100071,0,0,0,2,Failed,,FALSE
"a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana . ","a psychological thriller with a genuinely creepy premise and an inexperienced cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana . ",0.001069486141,0.008040368557,1,1,1,24,Failed,,TRUE
"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . ","corny , schmaltzy and predictable , but nonetheless manages to be sort of heartwarming , nonetheless . ",0.005282819271,0.008558452129,1,1,1,15,Failed,,TRUE
"nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun . ","nothing 's at stake , just a twisty corner you can smell a mile away -- however , the derivative nine queens is lot of fun . ",0.001836240292,0.005716502666,1,1,1,8,Failed,,TRUE
"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . ","far more creative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series . ",0.0006779432297,0.0007943511009,1,1,1,4,Failed,,TRUE
"of course , by more objective measurements it 's still quite bad . ","of course , by more objective measures it 's still quite bad . ",0.001615405083,0.001988768578,0,0,0,4,Failed,,TRUE
"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers . ","as the two leads , lewis and diggs are charming and have chemistry both as friends and lovers . ",0.00035572052,0.0003600120544,1,1,1,2,Failed,,TRUE
it provides an honest look at a community striving to anchor itself in new grounds . ,it gives an honest glance at a community trying to anchor itself in new grounds . ,0.0004708766937,0.00117713213,1,1,1,8,Failed,,TRUE
this movie seems to have been written using mad-libs . ,this movie purported to have been written using mad-libs . ,0.001147985458,0.002194106579,0,0,0,3,Failed,,TRUE
reign of fire looks as if it was made without much thought -- and is best watched that way . ,reign of fire looks as if it was made without much thought -- and is best watched that way . ,0.9955412149,0.9955412149,0,0,1,1,Skipped,,
"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ","martin and barbara are difficult characters -- occasionally tender , occasionally angry -- and the delicate storylines by sven wollter and viveka seldahl make their hopes and frustrations vivid . ",0.0003099441528,0.0004988908768,1,1,1,5,Failed,,TRUE
"it 's not that kung pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all oedekerk 's impish augmentation . ","it 's not that kung pow is n't funny some of the time -- it just is probably any funnier than bad martial arts films are all by themselves , without all oedekerk 's impish augmentation . ",0.001359522343,0.8555169106,0,1,0,15,Successful,Negative,
i 'd have to say the star and director are the big problems here . ,i 'd have to say the star and director are the big problems here . ,0.005781888962,0.005781888962,0,0,0,3,Failed,,FALSE
affleck and jackson are good sparring partners . ,affleck and jackson are good sparring partners . ,0.0006124973297,0.0006124973297,1,1,1,1,Failed,,FALSE
"whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie . ","whether you like rap ture or loathe it , you ca n't deny either the tragic loss of two young sters in the prime of their talents or the power of this movie . ",0.001289606094,0.001783072948,1,1,1,4,Failed,,TRUE
not since japanese filmmaker akira kurosawa 's ran have the savagery of combat and the specter of death been visualized with such operatic grandeur . ,not since japanese filmmaker akira kurosawa 's ran have the savagery of battle and the specter of death been visualized with such operatic grandeur . ,0.001980543137,0.002001345158,1,1,1,2,Failed,,TRUE
a by-the-numbers effort that wo n't do much to enhance the franchise . ,a by-the-numbers effort that could hardly do much to enhance the franchise . ,0.001386642456,0.003281414509,0,0,0,7,Failed,,TRUE
"an occasionally funny , but overall limp , fish-out-of-water story . ","an occasionally hilarious , but overall limp , fish-out-of-water story . ",0.003066778183,0.007928550243,0,0,0,4,Failed,,TRUE
brilliantly explores the conflict between following one 's heart and following the demands of tradition . ,brilliantly explored the conflict between following one 's heart and following the demands of tradition . ,0.0003304481506,0.0003771781921,1,1,1,3,Failed,,TRUE
"despite the 2-d animation , the wild thornberrys movie makes for a surprisingly cinematic experience . ","despite the 2-d animation , the wild thornberrys movie makes for a surprisingly cinematic experience . ",0.0007603168488,0.0007603168488,1,1,1,3,Failed,,FALSE
it appears that something has been lost in the translation to the screen . ,it emerges that something has been lost in the translation to the screen . ,0.001711189747,0.002570211887,0,0,0,3,Failed,,TRUE
it all feels like a monty python sketch gone horribly wrong . ,it all feels like a monty python sketch gone horribly wrong . ,0.001293420792,0.001293420792,0,0,0,3,Failed,,FALSE
the film tunes into a grief that could lead a man across centuries . ,the film tunes into a grief that could lead a man across centuries . ,0.1512839794,0.1512839794,1,1,1,2,Failed,,FALSE
"dazzles with its fully-written characters , its determined stylishness ( which always relates to characters and story ) and johnny dankworth 's best soundtrack in years . ","dazzles with its fully-written characters , its determined script ( which always relates to characters and storylines ) and johnny vegas 's finest soundtrack in years . ",0.0002488493919,0.0002939105034,1,1,1,37,Failed,,TRUE
it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,it 's a work by an artists so in control of both his medium and his message that he can improvise like a jazzman . ,0.004842340946,0.008448839188,1,1,1,4,Failed,,TRUE
it 's the chemistry between the women and the droll scene-stealing wit and wolfish pessimism of anna chancellor that makes this `` two weddings and a funeral '' fun . ,it 's the chemistry between the women and the droll old wit and smug pessimism of anna chancellor that makes this `` two marriages and a funeral '' fun . ,0.0004657506943,0.0009555220604,1,1,1,30,Failed,,TRUE
"stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career . ","stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an ends , along with green 's successful film career . ",0.003228843212,0.03133165836,0,0,0,14,Failed,,TRUE
"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . ","a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution . ",0.808324039,0.808324039,0,0,1,1,Skipped,,
huston nails both the glad-handing and the choking sense of hollow despair . ,huston nails both the glad-handing and the choking feeling of hollow despair . ,0.03821796179,0.04910302162,1,1,1,2,Failed,,TRUE
one of the more intelligent children 's movies to hit theaters this year . ,one of the more intelligent kids 's movie to hitting theaters this year . ,0.0003365278244,0.0008350610733,1,1,1,9,Failed,,TRUE
the film tries too hard to be funny and tries too hard to be hip . ,the film tries too hard to be funny and tries too hard to be hip . ,0.001701533794,0.001701533794,0,0,0,2,Failed,,FALSE
blanchett 's performance confirms her power once again . ,blanchett 's performance confirms her power once again . ,0.0006221532822,0.0006221532822,1,1,1,1,Failed,,FALSE
"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . ","if you believe any of this , i can make you a real deal on leftover enron stocks that will double in value a week from friday . ",0.1559545398,0.2381457686,0,0,0,2,Failed,,TRUE
attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience . ,attempts by this ensemble film to impart a message are so effective that they instead pummel the audience . ,0.00122910738,0.004301786423,0,0,0,19,Failed,,TRUE
no one but a convict guilty of some truly heinous crime should have to sit through the master of disguise . ,no one but a convict guilty of some truly heinous offence should have to sit through the master of disguise . ,0.02097183466,0.02164781094,0,0,0,11,Failed,,TRUE
rarely has so much money delivered so little entertainment . ,rarely has so much money delivered so small entertainment . ,0.005773544312,0.3250485063,0,0,0,2,Failed,,TRUE
taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes . ,taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes . ,0.001355350018,0.001355350018,0,0,0,6,Failed,,FALSE
`` the time machine '' is a movie that has no interest in itself . ,`` the time machine '' is a movie that has no interest in itself . ,0.000649034977,0.000649034977,0,0,0,1,Failed,,FALSE
a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight . ,a rarity among recent iranian cinema : it 's a comedy full of soft comedy that lacks the absurdity of its protagonist 's plight . ,0.0005299448967,0.3503177166,1,1,1,27,Failed,,TRUE
"/ but daphne , you 're too buff / fred thinks he 's tough / and velma - wow , you 've lost weight ! ","/ but daphne , you 're too buff / fred thought he 's tough / and velma - wow , you 've lost weight ! ",0.04273247719,0.04902762175,0,0,0,4,Failed,,TRUE
"the very definition of the ` small ' movie , but it is a good stepping stone for director sprecher . ","the very definition of the ` small ' movie , but it is a good stepping stone for director sprecher . ",0.0007135272026,0.0007135272026,1,1,1,3,Failed,,FALSE
"it 's like every bad idea that 's ever gone into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication ( and who knew they even had any ? ) . ","it 's like any bad idea that 's ever gone into an instant special compiled in one place , minus those daytime programs ' slickness and sophistication ( and who knew they even had any ? ) . ",0.001394212246,0.002089083195,0,0,0,23,Failed,,TRUE
"chilling , well-acted , and finely directed : david jacobson 's dahmer . ","chilling , provocative , and finely directed : david jacobson 's dahmer . ",0.0004523396492,0.0005467534065,1,1,1,10,Failed,,TRUE
"it ca n't decide if it wants to be a mystery/thriller , a romance or a comedy . ","it ca n't decide if it want to be a mystery/thriller , a romance or a comedy . ",0.001271665096,0.001448333263,0,0,0,3,Failed,,TRUE
"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface . ","paid in full is so stale , in fact , that its most vibrant scene is one that utilizes clips from brian de kker 's scarface . ",0.001631319523,0.002143323421,0,0,0,5,Failed,,TRUE
"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ","a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ",0.8471667171,0.8471667171,0,0,1,1,Skipped,,
"it 's played in the most straight-faced fashion , with little humor to lighten things up . ","it 's done in the most straight-faced manner , with little humor to lighten matters up . ",0.004964351654,0.01924216747,0,0,0,4,Failed,,TRUE
a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,a silly movie with dumb characters doing dumb things and you have to be really stupid not to see where this is going . ,0.001240491867,0.001518070698,0,0,0,7,Failed,,TRUE
"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . ","with almost no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . ",0.01011639833,0.01038604975,0,0,0,6,Failed,,TRUE
dense with characters and contains some thrilling moments . ,dense with characters and contains some thrilling moments . ,0.0002992153168,0.0002992153168,1,1,1,1,Failed,,FALSE
as unseemly as its title suggests . ,as unseemly as its title suggests . ,0.9981504083,0.9981504083,0,0,1,1,Skipped,,
it 's like watching a nightmare made flesh . ,it 's like watching a nightmare made flesh . ,0.01468759775,0.01468759775,0,0,0,1,Failed,,FALSE
"minority report is exactly what the title indicates , a report . ","minority report is exactly what the title indicates , a report . ",0.9789248109,0.9789248109,0,0,1,1,Skipped,,
"it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . ","it 's hard to like a film about a guy who is utterly impossible , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that . ",0.2345137596,0.9782674313,0,1,0,11,Successful,Negative,
"an entertaining , colorful , action-filled crime story with an intimate heart . ","an amusing , colorful , historical crime tale with an intimate heart . ",0.0002208352089,0.0002374053001,1,1,1,9,Failed,,TRUE
"for this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- chelsea walls deserves a medal . ","for this cause and this cause only -- the power of its own steadfast , hoity-toity convictions -- chelsea walls deserve a medal . ",0.003054201603,0.01819163561,1,1,1,7,Failed,,TRUE
"it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself . ","it just may inspire a few younger viewers to read stevenson 's book , which is a treasure in and of itself . ",0.000367641449,0.0003710985184,1,1,1,2,Failed,,TRUE
basically a static series of semi-improvised ( and semi-coherent ) raps between the stars . ,basically a static series of complex ( and semi-coherent ) raps between the stars . ,0.00360506773,0.007032632828,0,0,0,7,Failed,,TRUE
... with `` the bourne identity '' we return to the more traditional action genre . ,... with `` the bourne identity '' we reverted to the more traditional action genre . ,0.0211583972,0.5743262172,1,0,1,5,Successful,Negative,
"it 's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker 's movie adaptation . ","it 's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker 's movie adaptation . ",0.001266419888,0.001266419888,1,1,1,2,Failed,,FALSE
chokes on its own depiction of upper-crust decorum . ,chokes on its own depiction of upper-crust decorum . ,0.002124190331,0.002124190331,0,0,0,1,Failed,,FALSE
"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ","while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ",0.9978981018,0.9978981018,0,0,1,1,Skipped,,
a rewarding work of art for only the most patient and challenge-hungry moviegoers . ,a rewarding works of art for only the most patient and interested moviegoers . ,0.0004304051399,0.0007244944572,1,1,1,20,Failed,,TRUE
directed in a paint-by-numbers manner . ,directed in a paint-by-numbers manner . ,0.01983863115,0.01983863115,0,0,0,1,Failed,,FALSE
k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension . ,k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension . ,0.01364707947,0.01364707947,0,0,0,2,Failed,,FALSE
"at its best , queen is campy fun like the vincent price horror classics of the '60s . ","at its best , queen is campy fun like the vincent price horror classics of the '60s . ",0.0009667873383,0.0009667873383,1,1,1,3,Failed,,FALSE
"it 's a much more emotional journey than what shyamalan has given us in his past two movies , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip . ","it 's a much more emotional journey than what shakespeare has given us in his past two films , and gibson , stepping in for bruce willis , is the perfect actor to take us on the trip . ",0.0004294514656,0.0004912614822,1,1,1,25,Failed,,TRUE
the quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy . ,the quality of the art combines with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever become preachy or syrupy . ,0.0003755092621,0.000416457653,1,1,1,5,Failed,,TRUE
cool ? ,cool ? ,0.002922654152,0.002922654152,1,1,1,1,Failed,,FALSE
"deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises ","deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises ",0.0002638697624,0.0002638697624,1,1,1,1,Failed,,FALSE
"even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting . ","even with a green mohawk and a sheet of golden flame tattoos covering his shoulder , still , kilmer seem to be posing , rather than acting . ",0.03290635347,0.1105391979,0,0,0,24,Failed,,TRUE
the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . ,the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . ,0.8824009895,0.8824009895,1,1,0,1,Skipped,,
"at a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history . ","at a period when half the so-called real nies are little more than live-action comics , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history . ",0.000570833683,0.0008425712585,1,1,1,14,Failed,,TRUE
"the old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco bollywood that , by the end of monsoon wedding , sent my spirit soaring out of the theater . ","the same - meets-new mesh is incarnated in the movie 's soundtrack , a joyful mess of disco graphy that , by the end of monsoon wedding , sent my spirit soaring out of the theater . ",0.0004490017891,0.003141641617,1,1,1,47,Failed,,TRUE
jones ... does offer a brutal form of charisma . ,jones ... does offer a brutal form of charisma . ,0.0007944703102,0.0007944703102,1,1,1,1,Failed,,FALSE
its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . ,its well of thorn and vinegar ( and simple humanity ) has long been supplemented by similar work featuring the insight and punch this picture so conspicuously lacks . ,0.00417226553,0.06995147467,0,0,0,3,Failed,,TRUE
travels a fascinating arc from hope and euphoria to reality and disillusionment . ,travels a fascinating arc from hope and euphoria to reality and disillusionment . ,0.002033352852,0.002033352852,1,1,1,1,Failed,,FALSE
serving sara does n't serve up a whole lot of laughs . ,serving sara does not serve up a whole batch of laughs . ,0.0009950995445,0.00293046236,0,0,0,3,Failed,,TRUE
"the sort of film that makes me miss hitchcock , but also feel optimistic that there 's hope for popular cinema yet . ","the sort of movie that makes me miss hitchcock , but also feel hopeful that there 's hope for popular ization yet . ",0.001847684383,0.005879461765,1,1,1,10,Failed,,TRUE
"fun , flip and terribly hip bit of cinematic entertainment . ","fun , flip and terribly hip bit of cinematic entertainment . ",0.0002588629723,0.0002588629723,1,1,1,1,Failed,,FALSE
"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays . ","the x potion provides the quickly named blossom , bubbles and buttercup supernatural powers that include awesome strength and laser-beam eyes , which unfortunately do lack allows them to discern flimsy screenplays . ",0.02631950378,0.6964651346,0,1,0,17,Successful,Negative,
the wild thornberrys movie is a jolly surprise . ,the wild thornberrys movie is a jolly surprise . ,0.0005685687065,0.0005685687065,1,1,1,1,Failed,,FALSE
"entertains by providing good , lively company . ","entertains by providing good , lively company . ",0.0002898573875,0.0002898573875,1,1,1,1,Failed,,FALSE
"a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work . ","a densely constructed , heavily referential film , and an audacious returns to form that can comfortably sit among pan godard 's finest work . ",0.0003824234009,0.000678896904,1,1,1,29,Failed,,TRUE
what was once original has been co-opted so frequently that it now seems pedestrian . ,what was once original has been used so frequently that it now seems pedestrian . ,0.00235670805,0.003641426563,0,0,0,6,Failed,,TRUE
the story and structure are well-honed . ,the story and structure are well-honed . ,0.0006564259529,0.0006564259529,1,1,1,1,Failed,,FALSE
"macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role . ","macdowell , who wifty southern charm has anchored lighter affairs ... puts an entirely riveting conviction to her role . ",0.000285089016,0.0005019903183,1,1,1,7,Failed,,TRUE
an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution . ,an exciting cinematic omnibus and round-robin that occasionally is more interesting in conception than in execution . ,0.0003446340561,0.0005623698235,1,1,1,12,Failed,,TRUE
the second coming of harry potter is a film far superior to its predecessor . ,the second coming of harry potter is a gameplay far superior to its predecessor . ,0.0007237792015,0.001254916191,1,1,1,2,Failed,,TRUE
"if you can stomach the rough content , it 's worth checking out for the performances alone . ","if you can stomach the rough content , it 's worth checking out for the performances alone . ",0.002035021782,0.002035021782,1,1,1,1,Failed,,FALSE
"a warm , funny , engaging film . ","a warm , funny , engaging film . ",0.0002309679985,0.0002309679985,1,1,1,2,Failed,,FALSE
i 'll bet the video game is a lot more fun than the film . ,i 'll bet the video game is a lot more fun than the film . ,0.9405285716,0.9405285716,1,1,0,1,Skipped,,
the best film about baseball to hit theaters since field of dreams . ,the best film about baseball to hit theatres since field of dreams . ,0.0002835392952,0.000341296196,1,1,1,3,Failed,,TRUE
it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . ,it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters . ,0.0003329515457,0.0003329515457,1,1,1,2,Failed,,FALSE
"complete lack of originality , cleverness or even visible effort ","complete failure of originality , cleverness or even visible effort ",0.0009769201279,0.00103521347,0,0,0,5,Failed,,TRUE
"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' ","awesome creatures , stunning scenery , and epic battle ments added up to another ` spectacular spectacle . ' ",0.0003577470779,0.0005361437798,1,1,1,15,Failed,,TRUE
"all-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us . ","all-in-all , the film is an enjoyable and frankly told history of a people who live in us , but not necessarily with us . ",0.0003062486649,0.0003424882889,1,1,1,7,Failed,,TRUE
hit and miss as far as the comedy goes and a big ole ' miss in the way of story . ,hit and miss as far as the comedy goes and a big ole ' miss in the way of story . ,0.002361297607,0.002361297607,0,0,0,1,Failed,,FALSE
too much of it feels unfocused and underdeveloped . ,too much of it feels unfocused and underdeveloped . ,0.00111335516,0.00111335516,0,0,0,1,Failed,,FALSE
a deep and meaningful film . ,a deep and meaningful film . ,0.0002310872078,0.0002310872078,1,1,1,1,Failed,,FALSE
but it could have been worse . ,but it could have been worse . ,0.006826817989,0.006826817989,0,0,0,2,Failed,,FALSE
that 's pure pr hype . ,that 's pure pr hype . ,0.003801286221,0.003801286221,0,0,0,1,Failed,,FALSE
a painfully funny ode to bad behavior . ,a painfully funny ode to bad behavior . ,0.02627509832,0.02627509832,1,1,1,1,Failed,,FALSE
"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ","you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",0.4632255435,0.4632255435,1,1,1,1,Failed,,FALSE
"liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image . ","liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image . ",0.001384615898,0.001384615898,1,1,1,3,Failed,,FALSE
a beguiling splash of pastel colors and prankish comedy from disney . ,a beguiling splash of pastel colours and prankish humor from disney . ,0.000401198864,0.0005188584328,1,1,1,15,Failed,,TRUE
"it proves quite compelling as an intense , brooding character study . ","it proves quite compelling as an intense , brooding character study . ",0.0003299713135,0.0003299713135,1,1,1,2,Failed,,FALSE
an unwise amalgam of broadcast news and vibes . ,an unwise blending of broadcast news and vibes . ,0.001031517982,0.004608988762,0,0,0,6,Failed,,TRUE
"utterly lacking in charm , wit and invention , roberto benigni 's pinocchio is an astonishingly bad film . ","utterly missing in charm , wit and invention , roberto romano 's pinocchio is an astonishingly bad film . ",0.0008111596107,0.000940144062,0,0,0,19,Failed,,TRUE
and that leaves a hole in the center of the salton sea . ,and that leaves a hole in the center of the salton sea . ,0.004477977753,0.004477977753,0,0,0,1,Failed,,FALSE
the chateau cleverly probes the cross-cultural differences between gauls and yanks . ,the chateau cleverly probes the perceived differences between gauls and yanks . ,0.0005316138268,0.0007894039154,1,1,1,13,Failed,,TRUE
broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case . ,broomfield turns his distinctive ` blundering ' style into anything that could really help clear up the case . ,0.02628594637,0.9565042257,1,0,1,5,Successful,Negative,
"a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable . ","a pleasant enough romance with intellectual limitations , the sorts of movie that entertains even as it turns maddeningly predictable . ",0.0007009506226,0.009689509869,1,1,1,32,Failed,,TRUE
"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure . ","what really makes it special is that it pulls us into its world , offers us a hero who suffering and triumphs we can share , wraps him with interesting characters and sends us out of the theater feeling we 've shared a huge adventure . ",0.0002475380898,0.0002569556236,1,1,1,10,Failed,,TRUE
"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here . ","with the exception of some often amusing improvisations by cedric the entertainer as perry 's boss , there is only a redeeming moment here . ",0.002023160458,0.01665633917,0,0,0,48,Failed,,TRUE
"having had the good sense to cast actors who are , generally speaking , adored by the movie-going public , khouri then gets terrific performances from them all . ","having had the good sense to cast actors who are , normally speaking , loved by the movie-going public , khouri then got excellent performances from them all . ",0.0003755092621,0.0007749795914,1,1,1,12,Failed,,TRUE
... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . ,... a boring parade of talking heads and technical ities that will do little to advance the linux cause . ,0.0006963014603,0.0007959008217,0,0,0,2,Failed,,TRUE
"it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake . ","it 's of the quality of a lesser harrison ford films - six days , seven nights , maybe , or that terrible sabrina remake . ",0.1136949062,0.6603996158,0,1,0,7,Successful,Positive,
if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you . ,if you enjoy more thoughtful comedies with interesting conflicted characters ; this one is for you . ,0.0005593895912,0.0005593895912,1,1,1,1,Failed,,FALSE
"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",0.002238631248,0.002238631248,0,0,0,9,Failed,,FALSE
it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . ,it deserves to be seen by anybody with even a passing interest in the events shaping the world beyond their own horizons . ,0.2230955362,0.2742874026,1,1,1,7,Failed,,TRUE
"in an effort , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ","in an endeavour , i suspect , not to offend by appearing either too serious or too lighthearted , it offends by just being wishy-washy . ",0.004318833351,0.004352509975,0,0,0,4,Failed,,TRUE
no way i can believe this load of junk . ,no way i can believe this load of junk . ,0.001829385757,0.001829385757,0,0,0,1,Failed,,FALSE
"there is a fabric of complex ideas here , and feelings that profoundly deepen them . ","there is a fabric of complex ities here , and feelings that profoundly deepen them . ",0.0003836154938,0.0004740953445,1,1,1,4,Failed,,TRUE
"this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country . ","this tenth feature is a big deal , actually -- at least the opposite , and maybe yet a notch above the previous favorite , nicholas meyer 's star trek vi : the undiscovered country . ",0.0005198121071,0.006145298481,1,1,1,22,Failed,,TRUE
"not only unfunny , but downright repellent . ","not only unfunny , but downright repellent . ",0.001681447029,0.001681447029,0,0,0,1,Failed,,FALSE
"works hard to establish rounded characters , but then has nothing fresh or particularly interesting to say about them . ","works hard to establish rounded features , but then has nothing fresh or especially interesting to tell about them . ",0.001181066036,0.001564085484,0,0,0,5,Failed,,TRUE
just one bad idea after another . ,just one bad thought after another . ,0.001490294933,0.002678215504,0,0,0,2,Failed,,TRUE
... turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock . ,... turns so beautifully trite in its final 10 syllables that anyone without a fortified sweet ener will likely go into sugar shock . ,0.001480162144,0.007244169712,0,0,0,23,Failed,,TRUE
"his comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . ","his comedy premises are frequently hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level . ",0.008280277252,0.009968519211,0,0,0,9,Failed,,TRUE
"( næs ) directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage . ","( næs ) directed the stage version of elling , and got fine performances from his two leads who originated the character on stage . ",0.0006478428841,0.0008561611176,1,1,1,3,Failed,,TRUE
"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","a swashbuckling saga of love , betrayal , revenge and above all , faith . ",0.000364780426,0.0003969073296,1,1,1,4,Failed,,TRUE
"for movie lovers as well as opera lovers , tosca is a real treat . ","for movie fans as well as opera enthusiasts , tosca is a real treat . ",0.000433743,0.000467300415,1,1,1,7,Failed,,TRUE
"the film is quiet , threatening and unforgettable . ","the film is silent , threatening and unforgettable . ",0.003643095493,0.004146575928,1,1,1,2,Failed,,TRUE
there is no pleasure in watching a child suffer . ,there is no joy in watching a child suffer . ,0.00852817297,0.01502114534,0,0,0,2,Failed,,TRUE
"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot . ","jason x is positively anti-darwinian : nine sequels and fifty years later , the teens are none the dier and jason still kills on auto-pilot . ",0.09763234854,0.2078869343,0,0,0,16,Failed,,TRUE
