text,label,transforms_applied,is_changed,features,LLM
so much like a young Shandy Polson ,1,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
"khouri superintend , with marvellous style , to observe the extremum of crank forcemeat and blood-curdling category loudness on i continuum . ",1,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
fashioning an engrissing entertainment out ,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],1,"[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
spiffy repair animated feature,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",
that 's xo sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
"assign between facetious comic acting and mass comedy , this smart-aleck product ... fling around some intriguing message about the occurrent between human and android cause ",1,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
strung-together moments ,0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
", generous and subversive artworks ",1,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that the explore seamy underbelly of the criminal world",1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
Gfunny yet ,1,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
"overbearing , and over-the-top ",0,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
it 's robert duvall ! ,1,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
rich sudden,1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
"acted and directed , , it 's clear that washington ; most certainly has a new career ahead of him ",1,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",
