idx,text,label,llm_label,llm_explanation,different_label,features,transforms
99,why make a documentary about these marginal historical figures ? ,0,2,"The sentiment of the text is neutral. The phrase 'marginal historical figures' does not imply any particular sentiment, and the question does not suggest any particular opinion.",1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
100,"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ",1,1,"The sentiment of the text is positive. The use of words like 'fresh' and 'quirky' imply that the characters are unique and interesting, which is a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
101,"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ",0,0,"The sentiment of the text is negative. The first part of the sentence describes the last movie in a positive light, but the second part states that the latest movie has 'nothing going for it', suggesting that it is of a lower quality than the last movie.",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
102,"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ",1,2,"The sentiment of the text is neutral. The phrase 'paint some memorable images' implies that the subject matter is interesting and visually appealing, while the phrase 'keeps her distance from the characters' suggests that the filmmaker is not emotionally invested in the story. The combination of these two elements creates a neutral sentiment.",1,"[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 1 0]",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
103,"a gripping movie , played with performances that are all understated and touching . ",1,1,"The sentiment of the text is positive. The use of words like 'gripping' and 'touching' suggest that the movie is engaging and emotionally resonant, indicating a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
104,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ",1,1,"The sentiment of the text is positive. The use of words like 'cute' and 'dream' suggest a hopeful and optimistic outlook, while the phrase 'short enough to make a dream seem possible' implies that success is achievable, creating a positive sentiment.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 1 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
105,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ",0,0,"The sentiment of the text is negative. The use of words like 'blaring' and 'illusion' suggest that the subject matter is unpleasant and misguided, creating a negative tone.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
106,the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,1,1,"The sentiment of the text is positive. The use of words like 'simple', 'uncomplicated', and 'affable' indicate that the movie is enjoyable and easy to follow, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
107,what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,0,0,"The sentiment of the text is negative. The phrase 'make either of Val Kilmer's two personas interesting or worth caring about' implies that the director has failed to make the personas engaging or worth paying attention to, which is a negative evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
108,"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ",0,0,"The sentiment of the text is negative. The use of words like 'wincing' and 'repugnance' suggest that the viewer is having a negative reaction to the humor, implying a negative sentiment.",0,"[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 1]",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
109,it 's great escapist fun that recreates a place and time that will never happen again . ,1,1,"The sentiment of the text is positive. The use of words like 'great', 'escapist', and 'fun' suggest that the subject matter is enjoyable and entertaining. The phrase 'recreates a place and time that will never happen again' implies that the experience is unique and special, adding to the positive sentiment of the text.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
110,"scores no points for originality , wit , or intelligence . ",0,0,"The sentiment of the text is negative. The phrase 'no points for originality, wit, or intelligence' implies that the subject matter is lacking in creativity, humor, and intellect, which has a negative connotation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
111,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ",0,0,"The sentiment of the text is negative. The use of the words 'n't nearly enough' and 'despite' imply that the subject matter is lacking and unsatisfactory, suggesting a negative evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
112,hilariously inept and ridiculous . ,1,0,The sentiment of the text is negative. The use of words like 'inept' and 'ridiculous' suggest that the subject matter is being judged in a negative light.,1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
113,this movie is maddening . ,0,0,"The sentiment of the text is negative. The word 'maddening' implies that the movie is frustrating or irritating, suggesting a negative opinion of the movie.",0,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
114,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ",1,1,"The sentiment of the text is positive. The use of words like 'haunts', 'admire', and 'resolve' implies that the subject matter is memorable and enjoyable, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
115,sam mendes has become valedictorian at the school for soft landings and easy ways out . ,0,1,"The sentiment of the text is positive. The use of the word 'valedictorian' implies that Sam Mendes has achieved a high level of success, and the phrase 'soft landings and easy ways out' suggests that the school is a place of comfort and safety, both of which are positive sentiments.",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
116,one of the smartest takes on singles culture i 've seen in a long time . ,1,1,The sentiment of the text is positive. The use of words like 'smartest' and 'long time' indicate that the speaker is impressed by the take on singles culture and has not seen something like it in a while.,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
117,"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ",1,1,"The sentiment of the text is positive. The use of words like 'moody', 'heartbreaking', 'natural', and 'unforced' imply that the film is well-crafted and skillfully executed, suggesting a positive evaluation.",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
118,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,0,0,The sentiment of the text is negative. The phrase 'every nanosecond' implies that the experience is tedious and unpleasant. The use of the words 'far more pleasurable' suggests that the speaker is not enjoying the current situation and would rather be doing something else.,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
119,comes ... uncomfortably close to coasting in the treads of the bicycle thief . ,0,0,"The sentiment of the text is negative. The phrase 'coasting in the treads of the bicycle thief' implies that the subject is following in the footsteps of someone else, which has a negative connotation. The addition of the word 'uncomfortably' further emphasizes the negative sentiment.",0,"[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0]",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
120,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ",1,1,"The sentiment of the text is positive. The use of words like 'quirky', 'poignant', 'fascinating', and 'sexuality' imply that the film is interesting and thought-provoking, suggesting a positive evaluation.",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
121,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,0,0,"The sentiment of the text is negative. The phrase 'ripping people off' implies deception and dishonesty, which are negative qualities. The fact that the deception is done without the victims knowing implies a lack of respect for them, further contributing to the negative sentiment.",0,"[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
122,old-form moviemaking at its best . ,1,1,"The sentiment of the text is positive. The phrase 'at its best' implies that the movie is of high quality, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
123,turns potentially forgettable formula into something strangely diverting . ,1,1,"The sentiment of the text is positive. The phrase 'something strangely diverting' implies that the subject matter is entertaining and enjoyable, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
124,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ",1,1,"The sentiment of the text is positive. The use of words like 'dancing', 'running', and 'displaying' indicate that the subject is energetic and enthusiastic, suggesting a positive evaluation.",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
125,a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair . ,1,1,"The sentiment of the text is positive. The use of words like 'exciting', 'satisfying', 'imagination', and 'flair' suggests that the movie is enjoyable and well-made, conveying a positive sentiment.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
126,confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . ,0,0,"The sentiment of the text is negative. The phrase 'nagging suspicion' implies that the speaker has a negative opinion of Ethan Hawke, and the comparison of his performance in front of and behind the camera suggests that his work is not well-regarded. This implies a negative sentiment.",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
127,"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . ",0,0,"The sentiment of the text is negative. The phrase 'two ships passing in the night' implies that the characters in the story have missed an opportunity to connect, and the lack of 'insights' suggests that the story has not been successful in conveying its intended message.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
128,montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ,1,1,"The sentiment of the text is positive. The use of words like 'energy', 'nicely nuanced', 'quirky', and 'not stereotyped' all suggest that the narrative is well-crafted and skillfully executed, creating a positive evaluation of the work.",0,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
129,"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . ",1,1,"The sentiment of the text is positive. The use of words like 'grand', 'intelligent', 'superior', 'smart', and 'compelling' indicate that the subject matter is of a high quality and enjoyable, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
130,suffers from the lack of a compelling or comprehensible narrative . ,0,0,"The sentiment of the text is negative. The use of words like 'lack' and 'compelling' indicate that the narrative is inadequate, which has a negative connotation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
131,"in execution , this clever idea is far less funny than the original , killers from space . ",0,0,"The sentiment of the text is negative. The phrase 'far less funny' implies that the execution of the idea was not successful, and the comparison to the original, 'Killers from Space' suggests that the original was superior. This creates a negative sentiment.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
132,scooby dooby doo / and shaggy too / you both look and sound great . ,1,1,The sentiment of the text is positive. The use of the words 'look' and 'sound great' implies that the speaker is expressing admiration and approval for the two characters.,0,"[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
133,"the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold . ",0,0,"The sentiment of the text is negative. The phrase 'too scattershot to take hold' implies that the story is disorganized and unfocused, which has a negative connotation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
134,it all drags on so interminably it 's like watching a miserable relationship unfold in real time . ,0,0,The sentiment of the text is negative. The phrase 'drags on interminably' implies that the subject matter is tedious and unpleasant. The comparison to 'watching a miserable relationship unfold in real time' further reinforces the negative sentiment of the text.,0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
135,"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . ",0,2,"The sentiment of the text is neutral. The text does not contain any words that suggest a positive or negative sentiment, but rather is a factual description of the movie's ambitions and the abilities of the filmmakers.",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
136,looks and feels like a project better suited for the small screen . ,0,2,"The sentiment of the text is neutral. The text does not express a clear opinion about the project, only that it is better suited for the small screen.",1,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
137,"forced , familiar and thoroughly condescending . ",0,0,"The sentiment of the text is negative. The use of words like 'forced', 'familiar' and 'thoroughly condescending' indicate that the subject matter is unpleasant and unwelcome, suggesting a negative sentiment.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
138,that is a compliment to kuras and miller . ,1,1,"The sentiment of the text is positive. The use of the word 'compliment' implies that the speaker is expressing admiration or approval for Kuras and Miller, which has a positive connotation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
139,it 's not the ultimate depression-era gangster movie . ,0,2,"The sentiment of the text is neutral. The text does not contain any words that suggest a positive or negative sentiment, so the sentiment is neutral.",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
140,sacrifices the value of its wealth of archival foot-age with its less-than-objective stance . ,0,0,"The sentiment of the text is negative. The use of the word 'sacrifices' implies that something of value is being lost, and the phrase 'less-than-objective stance' suggests that the subject matter is biased or incomplete, both of which have a negative connotation.",0,"[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
141,the character of zigzag is not sufficiently developed to support a film constructed around him . ,0,0,"The sentiment of the text is negative. The phrase 'not sufficiently developed' implies that the character is lacking in some way, which has a negative connotation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
142,what better message than ` love thyself ' could young women of any size receive ? ,1,1,"The sentiment of the text is positive. The phrase 'love thyself' is a positive message that suggests self-acceptance and self-love, which is a positive sentiment.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
143,a solid film ... but more conscientious than it is truly stirring . ,1,2,"The sentiment of the text is neutral. The phrase 'a solid film' implies that the film is well-made, but the addition of 'but more conscientious than it is truly stirring' suggests that the film is not particularly moving or inspiring, making the overall sentiment neutral.",1,"[1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
144,"while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film . ",0,0,"The sentiment of the text is negative. The use of words like 'lifeless' and 'not enough to salvage' indicate that the film is not well-received, suggesting a negative evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 1]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
145,the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it . ,0,0,"The sentiment of the text is negative. The phrase 'he obviously does n't have his heart in it' implies that the director is not invested in the work, suggesting a lack of enthusiasm and a negative evaluation.",0,"[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
146,"about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological . ",1,1,"The sentiment of the text is positive. The text describes a manga-like heroine who is fighting back against her abusers, which is portrayed in a positive light. The text also contains words like 'energetic' and 'satisfying', which suggest a positive evaluation of the story.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
147,the talented and clever robert rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second . ,0,2,"The sentiment of the text is neutral. The text acknowledges the talent and cleverness of Robert Rodriguez, but also suggests that he may have put too much effort into his first film and not enough into his second. This suggests a balanced evaluation of the situation, making the sentiment neutral.",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
148,feels too formulaic and too familiar to produce the transgressive thrills of early underground work . ,0,0,"The sentiment of the text is negative. The use of words like 'formulaic' and 'familiar' suggest that the subject matter is unoriginal and predictable, which has a negative connotation. The phrase 'transgressive thrills' implies that the subject matter is exciting and daring, which is absent in the text, further adding to the negative sentiment.",0,"[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
149,"the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance . ",1,1,"The sentiment of the text is positive. The use of words like 'low-key' and 'positively french' suggest that the film is unique and interesting, and the phrase 'volatile dynamics' implies that the subject matter is complex and engaging. Overall, the tone of the text is positive.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
150,overall very good for what it 's trying to do . ,1,1,"The sentiment of the text is positive. The phrase 'very good' indicates that the subject is of high quality, and the phrase 'what it's trying to do' implies that the subject is achieving its goals, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
151,"a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion . ",1,1,"The sentiment of the text is positive. The use of words like 'gorgeous', 'grand', and 'uncomplicated' imply that the swashbuckler is impressive and enjoyable, suggesting a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 1 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
152,"a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear . ",1,1,"The sentiment of the text is positive. The words 'difficult', 'absorbing', and 'substance' suggest that the film is engaging and has depth. The fact that it manages to convey more substance despite its repetitions and inconsistencies implies that it is a well-crafted film, which is a positive evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0]",[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
153,the heavy-handed film is almost laughable as a consequence . ,0,0,"The sentiment of the text is negative. The use of the words 'heavy-handed' and 'laughable' implies that the film is poorly made and not worth watching, suggesting a negative evaluation.",0,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
154,a solid examination of the male midlife crisis . ,1,2,"The sentiment of the text is neutral. The use of the words 'solid' and 'examination' imply that the subject matter is being objectively studied, without any positive or negative connotations.",1,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
